,note0,note1,note2,note3,time
0,0,0,0,0,5
0,11,6,2,11,0
1,11,6,2,11,0
2,11,6,2,11,0
3,11,6,2,11,0
4,11,7,4,4,0
5,11,7,4,4,0
6,11,7,4,6,0
7,11,7,4,6,0
8,11,2,11,7,0
9,11,2,11,7,0
10,11,4,11,7,0
11,11,4,11,7,0
12,10,6,1,6,0
13,10,6,1,6,0
14,8,6,11,6,0
15,8,6,11,6,0
16,6,1,10,6,0
17,6,1,10,6,0
18,6,1,10,4,0
19,6,1,10,4,0
20,11,6,11,2,0
21,11,6,11,2,0
22,11,6,11,2,0
23,11,6,11,2,0
24,1,6,10,6,0
25,1,6,10,6,0
26,1,6,10,6,0
27,1,6,10,6,0
28,2,6,11,11,0
29,2,6,11,11,0
30,2,6,1,11,0
31,2,6,1,11,0
32,2,6,2,11,0
33,2,6,2,11,0
34,2,6,2,11,0
35,2,6,2,11,0
36,4,6,1,10,0
37,4,6,1,10,0
38,4,6,1,10,0
39,4,6,1,10,0
40,2,6,11,11,0
41,2,6,11,11,0
42,2,6,11,11,0
43,2,6,11,11,0
44,1,6,10,6,0
45,1,6,10,6,0
46,1,6,10,6,0
47,1,6,10,6,0
48,1,6,10,6,0
49,1,6,10,6,0
50,1,6,10,6,0
51,1,6,10,6,0
52,2,6,11,11,0
53,2,6,11,11,0
54,2,6,11,11,0
55,2,6,11,11,0
56,4,9,1,9,0
57,4,9,1,9,0
58,4,9,1,9,0
59,4,9,1,9,0
60,6,9,2,2,0
61,6,9,2,2,0
62,4,9,1,2,0
63,4,9,1,2,0
64,2,11,11,7,0
65,2,11,11,7,0
66,2,9,1,9,0
67,2,9,1,9,0
68,7,7,2,11,0
69,7,7,2,11,0
70,7,7,2,11,0
71,7,7,2,11,0
72,7,9,4,1,0
73,7,9,4,1,0
74,7,9,4,1,0
75,7,9,4,1,0
76,6,9,4,2,0
77,6,9,4,2,0
78,4,9,4,1,0
79,4,9,4,1,0
80,6,2,2,11,0
81,6,2,2,11,0
82,6,1,2,9,0
83,6,1,2,9,0
84,4,11,2,7,0
85,4,11,2,7,0
86,4,11,2,7,0
87,4,11,2,7,0
88,4,9,1,9,0
89,4,9,1,9,0
90,4,7,1,9,0
91,4,7,1,9,0
92,2,6,9,2,0
93,2,6,9,2,0
94,2,6,9,2,0
95,2,6,9,2,0
96,2,6,11,11,0
97,2,6,11,11,0
98,2,6,9,11,0
99,2,6,9,11,0
100,1,4,7,4,0
101,1,4,7,4,0
102,1,4,7,6,0
103,1,4,7,6,0
104,11,2,7,7,0
105,11,2,7,7,0
